,Rank,Player Name,Team,Points,Errors,Attempts,Average per match,Success %,Total,Year
0,1,Nimir,NED,218,77,113,18.17,53.43,408,2021
1,2,Čebulj,SLO,200,56,168,11.76,47.17,424,2021
2,3,Mikhaylov,RUS,167,45,111,11.93,51.70,323,2021
3,4,Ivović,SRB,158,35,111,10.53,51.97,304,2021
4,5,T. Štern,SLO,154,61,97,10.27,49.36,312,2021
5,6,Kazemi,IRI,152,47,141,10.86,44.71,340,2021
6,6,Michieletto,ITA,152,27,125,10.13,50.00,304,2021
7,7,Urnaut,SLO,150,39,128,8.82,47.32,317,2021
8,7,Wallace,BRA,150,39,69,8.82,58.14,258,2021
9,8,Ishikawa,JPN,149,28,93,10.64,55.19,270,2021
10,9,Leal,BRA,139,39,94,9.27,51.10,272,2021
11,10,Salehi,IRI,138,44,68,9.20,55.20,250,2021
12,11,Luburić,SRB,133,46,81,8.87,51.15,260,2021
13,12,Kliuka,RUS,132,37,119,9.43,45.83,288,2021
14,13,Lucarelli,BRA,131,38,79,8.73,52.82,248,2021
15,14,Weber,GER,128,49,107,9.85,45.07,284,2021
16,15,Patry,FRA,127,42,104,9.07,46.52,273,2021
17,16,Kovačević,SRB,126,44,86,12.60,49.22,256,2021
18,16,Defalco,USA,126,38,106,8.40,46.67,270,2021
19,17,Pereyra L.,ARG,125,56,73,8.33,49.21,254,2021
20,18,Tuinstra,NED,118,46,132,8.43,39.86,296,2021
21,19,Recine,ITA,117,43,122,7.80,41.49,282,2021
22,20,Smith,AUS,115,37,113,9.58,43.40,265,2021
23,21,Atanasijević,SRB,114,52,67,7.60,48.93,233,2021
24,22,Boyer,FRA,113,37,75,7.53,50.22,225,2021
25,23,Ngapeth,FRA,111,43,71,9.25,49.33,225,2021
26,24,Perrin,CAN,109,20,106,8.38,46.38,235,2021
27,25,Nelli,ITA,108,38,96,8.31,44.63,242,2021
28,26,Asparuhov,BUL,106,31,86,7.07,47.53,223,2021
29,26,Ran,JPN,106,35,72,7.07,49.77,213,2021
30,26,Krsmanović,SRB,106,21,32,7.07,66.67,159,2021
31,27,Shimizu,JPN,103,40,75,7.92,47.25,218,2021
32,27,Vernon,CAN,103,37,74,6.87,48.13,214,2021
33,28,Pajenk,SLO,102,15,41,6.00,64.56,158,2021
34,29,Douglas,BRA,101,34,59,5.94,52.06,194,2021
35,30,Ter Horst,NED,99,26,64,9.00,52.38,189,2021
36,31,Kurek,POL,97,27,67,8.82,50.79,191,2021
37,32,Tillie,FRA,96,19,68,6.00,52.46,183,2021
38,32,Graham,AUS,96,60,94,6.40,38.40,250,2021
39,33,Hoag,CAN,95,45,81,6.33,42.99,221,2021
40,34,Volkov,RUS,93,28,64,6.64,50.27,185,2021
41,35,Clevenot,FRA,92,30,68,6.57,48.42,190,2021
42,35,Pinali,ITA,92,23,65,6.13,51.11,180,2021
43,35,Conte,ARG,92,43,100,6.13,39.15,235,2021
44,36,Podraščanin,SRB,87,15,27,5.80,67.44,129,2021
