,Rank,Player Name,Team,Blocks,Errors,Rebounds,Average per match,Efficiency %,Total,Year
0,1,Podraščanin,SRB,44,66,51,2.93,-13.66,161,2021
1,2,Krsmanović,SRB,32,63,52,2.13,-21.09,147,2021
2,3,Seyed,IRI,30,50,28,2.14,-18.52,108,2021
3,4,Le Goff,FRA,28,34,46,1.65,-5.56,108,2021
4,4,Krick,GER,28,43,53,2.00,-12.10,124,2021
5,4,Volvich,RUS,28,46,38,1.87,-16.07,112,2021
6,4,Cortesia,ITA,28,49,36,2.00,-18.58,113,2021
7,5,Kozamernik,SLO,27,56,53,1.69,-21.32,136,2021
8,5,Vlasov,RUS,27,53,30,1.80,-23.64,110,2021
9,6,Chinenyeze,FRA,23,67,45,1.35,-32.59,135,2021
10,7,Bieniek,POL,22,30,46,1.69,-8.16,98,2021
11,8,Kurkaev,RUS,21,34,29,1.40,-15.48,84,2021
12,8,Mosca,ITA,21,34,36,1.50,-14.29,91,2021
13,8,Isac,BRA,21,34,28,1.31,-15.66,83,2021
14,8,Nowakowski,POL,21,34,29,1.75,-15.48,84,2021
15,9,Krage,GER,20,53,14,1.54,-37.93,87,2021
16,9,Pajenk,SLO,20,40,54,1.18,-17.54,114,2021
17,9,Szwarc,CAN,20,34,32,1.33,-16.28,86,2021
18,9,Van Berkel,CAN,20,38,24,1.43,-21.95,82,2021
19,10,Čebulj,SLO,19,32,25,1.12,-17.11,76,2021
20,10,Michieletto,ITA,19,15,18,1.27,7.69,52,2021
21,10,M. Souza,BRA,19,39,32,1.46,-22.22,90,2021
22,11,Mote,AUS,18,42,38,1.29,-24.49,98,2021
23,11,Defalco,USA,18,26,13,1.20,-14.04,57,2021
24,11,Conte,ARG,18,27,11,1.20,-16.07,56,2021
25,11,Ramos,ARG,18,42,17,1.20,-31.17,77,2021
26,12,Brizard,FRA,17,19,21,1.06,-3.51,57,2021
27,12,M.Gholami,IRI,17,32,23,1.13,-20.83,72,2021
28,12,Mikhaylov,RUS,17,29,20,1.21,-18.18,66,2021
29,13,Mojarad,IRI,16,21,10,1.45,-10.64,47,2021
30,13,Kovačević,SRB,16,28,18,1.60,-19.35,62,2021
31,13,Parkinson,NED,16,37,22,1.23,-28.00,75,2021
32,13,Vernon,CAN,16,26,13,1.07,-18.18,55,2021
33,13,Loser Bruno,ARG,16,46,33,1.33,-31.58,95,2021
34,14,Clevenot,FRA,15,21,13,1.07,-12.24,49,2021
35,14,T. Štern,SLO,15,48,16,1.00,-41.77,79,2021
36,14,Holt,USA,15,20,16,1.25,-9.80,51,2021
37,14,Sole,ITA,15,35,42,1.36,-21.74,92,2021
38,14,Stahl,USA,15,21,31,1.15,-8.96,67,2021
39,15,Weber,GER,14,23,19,1.08,-16.07,56,2021
40,15,O'Dea,AUS,14,38,32,0.93,-28.57,84,2021
41,15,Salehi,IRI,14,27,13,0.93,-24.07,54,2021
42,15,Ensing,USA,14,20,23,1.00,-10.53,57,2021
43,16,Dosanjh,AUS,13,29,14,0.87,-28.57,56,2021
44,16,Smith,AUS,13,28,11,1.08,-28.85,52,2021
45,16,Onodera,JPN,13,32,15,1.00,-31.67,60,2021
46,16,Kurek,POL,13,21,23,1.18,-14.04,57,2021
47,16,Kłos,POL,13,21,26,1.18,-13.33,60,2021
48,16,Recine,ITA,13,22,12,0.87,-19.15,47,2021
49,16,Kaczmarek,POL,13,14,8,1.08,-2.86,35,2021
50,17,Parapunov,BUL,12,16,19,0.80,-8.51,47,2021
51,17,Yamauchi,JPN,12,30,13,0.80,-32.73,55,2021
52,17,Ivović,SRB,12,35,22,0.80,-33.33,69,2021
53,17,Kliuka,RUS,12,37,14,0.86,-39.68,63,2021
54,17,Perrin,CAN,12,24,21,0.92,-21.05,57,2021
55,17,Kochanowski,POL,12,29,19,1.00,-28.33,60,2021
56,17,Lucarelli,BRA,12,21,24,0.80,-15.79,57,2021
57,17,Pereyra L.,ARG,12,21,13,0.80,-19.57,46,2021
58,18,Bultor,FRA,11,29,23,0.65,-28.57,63,2021
59,18,Ishikawa,JPN,11,30,21,0.79,-30.65,62,2021
60,18,Milad,IRI,11,22,6,0.85,-28.21,39,2021
61,18,Ropret,SLO,11,30,26,0.65,-28.36,67,2021
62,18,Semeniuk,POL,11,12,9,0.85,-3.12,32,2021
63,18,Galassi,ITA,11,15,12,1.38,-10.53,38,2021
64,18,Leal,BRA,11,22,17,0.73,-22.00,50,2021
65,19,Boyer,FRA,10,17,17,0.67,-15.91,44,2021
66,19,Kolev,BUL,10,47,26,0.67,-44.58,83,2021
67,19,Seganov,BUL,10,17,16,0.67,-16.28,43,2021
68,19,Kartev,BUL,10,34,16,0.77,-40.00,60,2021
69,19,Kazemi,IRI,10,29,11,0.71,-38.00,50,2021
70,19,Nimir,NED,10,33,21,0.83,-35.94,64,2021
71,19,Volkov,RUS,10,15,13,0.71,-13.16,38,2021
72,19,Jansen Vandoorn,CAN,10,22,18,0.67,-24.00,50,2021
73,19,Spirito,ITA,10,5,16,0.67,16.13,31,2021
74,19,Bottolo,ITA,10,14,13,0.67,-10.81,37,2021
75,19,Wallace,BRA,10,24,25,0.59,-23.73,59,2021
76,19,Flavio,BRA,10,39,32,0.59,-35.80,81,2021
77,19,Andringa,NED,10,18,16,0.71,-18.18,44,2021
78,19,Jendryk,USA,10,11,12,0.77,-3.03,33,2021
79,20,Tillie,FRA,9,14,13,0.56,-13.89,36,2021
80,20,Chavdarov,BUL,9,29,22,0.69,-33.33,60,2021
81,20,Reza,IRI,9,9,6,0.82,0.00,24,2021
82,20,Pankov,RUS,9,19,17,0.60,-22.22,45,2021
83,20,Smith,USA,9,26,25,0.64,-28.33,60,2021
84,20,Hoag,CAN,9,15,18,0.60,-14.29,42,2021
85,20,Leon,POL,9,15,6,0.69,-20.00,30,2021
86,20,Plak,NED,9,28,13,0.69,-38.00,50,2021
87,21,Patry,FRA,8,27,22,0.57,-33.33,57,2021
88,21,Asparuhov,BUL,8,25,21,0.53,-31.48,54,2021
89,21,Hirsch,GER,8,17,12,0.57,-24.32,37,2021
90,21,Zimmermann,GER,8,27,28,0.53,-30.16,63,2021
91,21,Lee,JPN,8,23,35,0.53,-22.73,66,2021
92,21,Jovović,SRB,8,22,15,0.53,-31.11,45,2021
93,21,Perić,SRB,8,6,10,0.53,8.33,24,2021
94,21,Vigrass,CAN,8,20,15,1.00,-27.91,43,2021
95,21,Drzyzga,POL,8,15,15,0.47,-18.42,38,2021
96,21,Douglas,BRA,8,19,13,0.47,-27.50,40,2021
97,21,Vitelli,ITA,8,13,15,0.73,-13.89,36,2021
98,21,Alan,BRA,8,18,12,0.50,-26.32,38,2021
99,21,T. Sander,USA,8,8,5,1.33,0.00,21,2021
100,22,Grozdanov,BUL,7,13,14,2.33,-17.65,34,2021
101,22,Reichert,GER,7,15,10,0.47,-25.00,32,2021
102,22,Luburić,SRB,7,21,16,0.47,-31.82,44,2021
103,22,Urnaut,SLO,7,31,13,0.41,-47.06,51,2021
104,22,Možič,SLO,7,15,8,0.41,-26.67,30,2021
105,22,Bogdan,RUS,7,18,8,0.47,-33.33,33,2021
106,22,Kobzar,RUS,7,34,22,0.47,-42.86,63,2021
107,22,Patch,USA,7,7,3,0.78,0.00,17,2021
108,22,Maar,CAN,7,7,6,0.70,0.00,20,2021
109,22,Muzaj,POL,7,18,20,0.64,-24.44,45,2021
110,22,Bednorz,POL,7,6,2,0.78,6.67,15,2021
