,Rank,Player Name,Team,Digs,Errors,Receptions,Average per match,Success %,Total,Year
0,1,Balaso,ITA,161,48,25,10.73,68.80,234,2021
1,2,Kovačič,SLO,150,60,7,8.82,69.12,217,2021
2,3,Zenger,GER,141,58,23,9.40,63.51,222,2021
3,4,Grebennikov,FRA,137,50,19,9.79,66.50,206,2021
4,5,Perry,AUS,129,39,14,8.60,70.88,182,2021
5,6,Thales,BRA,103,30,9,6.06,72.54,142,2021
6,7,E. Shoji,USA,101,37,3,6.73,71.63,141,2021
7,8,Yamamoto,JPN,100,36,9,6.67,68.97,145,2021
8,9,Arman,IRI,97,39,6,6.47,68.31,142,2021
9,10,Bann,CAN,96,27,7,8.73,73.85,130,2021
10,11,V. Ivanov,BUL,93,39,8,6.64,66.43,140,2021
11,11,Golubev,RUS,93,37,4,6.20,69.40,134,2021
12,12,Dronkers,NED,90,36,5,6.00,68.70,131,2021
13,13,Ropret,SLO,87,28,20,5.12,64.44,135,2021
14,14,Bruno,BRA,82,22,17,4.82,67.77,121,2021
15,15,Pekovic,SRB,79,38,8,5.27,63.20,125,2021
16,15,Čebulj,SLO,79,31,13,4.65,64.23,123,2021
17,16,Ivović,SRB,75,27,8,5.00,68.18,110,2021
18,17,Zatorski,POL,74,25,11,4.35,67.27,110,2021
19,18,Zimmermann,GER,73,39,10,4.87,59.84,122,2021
20,18,Jovović,SRB,73,29,13,4.87,63.48,115,2021
21,19,Michieletto,ITA,72,18,6,4.80,75.00,96,2021
22,20,Lucarelli,BRA,69,23,6,4.60,70.41,98,2021
23,21,Schott,GER,68,34,9,4.53,61.26,111,2021
24,21,Conte,ARG,68,25,6,4.53,68.69,99,2021
25,22,Mikhaylov,RUS,64,12,5,4.57,79.01,81,2021
26,23,Dosanjh,AUS,63,43,15,4.20,52.07,121,2021
27,24,Urnaut,SLO,62,27,7,3.65,64.58,96,2021
28,25,Kliuka,RUS,59,12,7,4.21,75.64,78,2021
29,26,Ishikawa,JPN,57,21,7,4.07,67.06,85,2021
30,26,Nimir,NED,57,21,3,4.75,70.37,81,2021
31,26,Sbertoli,ITA,57,24,13,3.80,60.64,94,2021
32,27,Defalco,USA,56,21,8,3.73,65.88,85,2021
33,27,Andringa,NED,56,9,4,4.00,81.16,69,2021
34,27,Ngapeth,FRA,56,17,8,4.67,69.14,81,2021
