,Rank,Player Name,Team,Succesful,Errors,Attemps,Average per match,Success %,Total,Year
0,1,Ivović,SRB,123,23,161,8.20,40.07,307,2021
1,1,Čebulj,SLO,123,21,218,7.24,33.98,362,2021
2,2,Zenger,GER,121,20,190,8.07,36.56,331,2021
3,3,Schott,GER,113,19,150,7.53,40.07,282,2021
4,4,Kovačič,SLO,109,18,163,6.41,37.59,290,2021
5,5,Milad,IRI,107,13,130,8.23,42.80,250,2021
6,6,Balaso,ITA,105,27,179,7.00,33.76,311,2021
7,7,Thales,BRA,103,8,122,6.06,44.21,233,2021
8,8,Arman,IRI,101,7,114,6.73,45.50,222,2021
9,9,Perry,AUS,99,11,114,6.60,44.20,224,2021
10,10,Grebennikov,FRA,96,8,142,6.86,39.02,246,2021
11,11,Ishikawa,JPN,95,7,117,6.79,43.38,219,2021
12,12,Dronkers,NED,94,24,143,6.27,36.02,261,2021
13,13,Pekovic,SRB,93,24,183,6.20,31.00,300,2021
14,14,Yamamoto,JPN,89,12,89,5.93,46.84,190,2021
15,15,Smith,AUS,86,24,198,7.17,27.92,308,2021
16,16,Kliuka,RUS,85,22,175,6.07,30.14,282,2021
17,17,Andringa,NED,83,5,108,5.93,42.35,196,2021
18,18,Asparuhov,BUL,80,29,163,5.33,29.41,272,2021
19,18,E. Shoji,USA,80,7,114,5.33,39.80,201,2021
20,18,Recine,ITA,80,11,153,5.33,32.79,244,2021
21,19,Urnaut,SLO,79,17,184,4.65,28.21,280,2021
22,19,Tuinstra,NED,79,19,195,5.64,26.96,293,2021
23,19,Defalco,USA,79,8,163,5.27,31.60,250,2021
24,20,Bann,CAN,78,10,115,7.09,38.42,203,2021
25,21,Salehi,IRI,77,12,168,5.13,29.96,257,2021
26,21,Muagututia,USA,77,14,89,5.13,42.78,180,2021
27,22,Ngapeth,FRA,73,13,148,6.08,31.20,234,2021
28,23,Ran,JPN,72,8,105,4.80,38.92,185,2021
29,24,Clevenot,FRA,70,6,101,5.00,39.55,177,2021
30,25,Kovačević,SRB,69,15,161,6.90,28.16,245,2021
31,26,Michieletto,ITA,67,15,185,4.47,25.09,267,2021
32,26,Conte,ARG,67,20,174,4.47,25.67,261,2021
33,27,Golubev,RUS,66,13,138,4.40,30.41,217,2021
34,28,Lucarelli,BRA,65,8,154,4.33,28.63,227,2021
35,29,Hoag,CAN,63,10,130,4.20,31.03,203,2021
36,30,V. Ivanov,BUL,58,15,114,4.14,31.02,187,2021
37,31,Tillie,FRA,55,10,102,3.44,32.93,167,2021
38,32,Perrin,CAN,54,15,117,4.15,29.03,186,2021
39,32,Kubiak,POL,54,13,116,4.50,29.51,183,2021
