,Rank,Player Name,Team,Points,Errors,Attemps,Average per match,Success %,Total,Year
0,1,Nimir,NED,36,55,94,3.00,19.46,185,2021
1,2,Leon,POL,32,36,69,2.46,23.36,137,2021
2,3,Ivović,SRB,20,35,168,1.33,8.97,223,2021
3,4,Luburić,SRB,19,44,62,1.27,15.20,125,2021
4,5,Schott,GER,18,40,120,1.20,10.11,178,2021
5,5,Pajenk,SLO,18,48,191,1.06,7.00,257,2021
6,5,Ngapeth,FRA,18,42,100,1.50,11.25,160,2021
7,6,Mikhaylov,RUS,17,34,135,1.21,9.14,186,2021
8,6,Hoag,CAN,17,32,98,1.13,11.56,147,2021
9,6,Bieniek,POL,17,30,106,1.31,11.11,153,2021
10,6,Lucarelli,BRA,17,35,126,1.13,9.55,178,2021
11,7,Kazemi,IRI,15,39,105,1.07,9.43,159,2021
12,7,Čebulj,SLO,15,52,140,0.88,7.25,207,2021
13,8,Atanasov,BUL,13,17,52,0.87,15.85,82,2021
14,8,T. Štern,SLO,13,46,126,0.87,7.03,185,2021
15,8,Ropret,SLO,13,28,179,0.76,5.91,220,2021
16,8,Kobzar,RUS,13,28,120,0.87,8.07,161,2021
17,8,Christenson,USA,13,18,129,1.08,8.12,160,2021
18,9,Weber,GER,12,47,82,0.92,8.51,141,2021
19,9,Esfandiar,IRI,12,27,72,0.86,10.81,111,2021
20,9,Drzyzga,POL,12,27,112,0.71,7.95,151,2021
21,9,Nelli,ITA,12,37,77,0.92,9.52,126,2021
22,9,Leal,BRA,12,21,115,0.80,8.11,148,2021
23,10,Patry,FRA,11,27,108,0.79,7.53,146,2021
24,10,Asparuhov,BUL,11,30,88,0.73,8.53,129,2021
25,10,Tuinstra,NED,11,37,132,0.79,6.11,180,2021
26,10,Volkov,RUS,11,29,87,0.79,8.66,127,2021
27,10,Bottolo,ITA,11,26,73,0.73,10.00,110,2021
28,11,Krsmanović,SRB,10,31,198,0.67,4.18,239,2021
29,11,Kliuka,RUS,10,34,128,0.71,5.81,172,2021
30,11,Vernon,CAN,10,38,66,0.67,8.77,114,2021
31,11,Szwarc,CAN,10,25,81,0.67,8.62,116,2021
32,11,Michieletto,ITA,10,31,133,0.67,5.75,174,2021
33,11,Isac,BRA,10,36,104,0.62,6.67,150,2021
34,11,Douglas,BRA,10,20,85,0.59,8.70,115,2021
35,11,Pereyra L.,ARG,10,32,70,0.67,8.93,112,2021
36,11,Stahl,USA,10,32,58,0.77,10.00,100,2021
37,12,Ishikawa,JPN,9,32,112,0.64,5.88,153,2021
38,12,Podraščanin,SRB,9,34,183,0.60,3.98,226,2021
39,12,Smith,USA,9,23,84,0.64,7.76,116,2021
40,12,Muzaj,POL,9,14,40,0.82,14.29,63,2021
41,12,Pinali,ITA,9,24,67,0.60,9.00,100,2021
42,12,Cortesia,ITA,9,12,157,0.64,5.06,178,2021
43,12,Wallace,BRA,9,27,127,0.53,5.52,163,2021
44,12,Andringa,NED,9,38,69,0.64,7.76,116,2021
45,12,Loser Bruno,ARG,9,35,109,0.75,5.88,153,2021
46,13,Bultor,FRA,8,27,69,0.47,7.69,104,2021
47,13,Rossard T,FRA,8,21,62,0.80,8.79,91,2021
48,13,Seganov,BUL,8,19,109,0.53,5.88,136,2021
49,13,Dosanjh,AUS,8,30,120,0.53,5.06,158,2021
50,13,Salehi,IRI,8,39,125,0.53,4.65,172,2021
51,13,Atanasijević,SRB,8,29,84,0.53,6.61,121,2021
52,13,Muagututia,USA,8,21,97,0.53,6.35,126,2021
53,13,Fornal,POL,8,9,31,0.67,16.67,48,2021
54,13,Bednorz,POL,8,8,24,0.89,20.00,40,2021
55,14,Clevenot,FRA,7,16,105,0.50,5.47,128,2021
56,14,Sokolov,BUL,7,16,33,0.88,12.50,56,2021
57,14,Zimmermann,GER,7,28,146,0.47,3.87,181,2021
58,14,Ran,JPN,7,29,105,0.47,4.96,141,2021
59,14,Seyed,IRI,7,35,82,0.50,5.65,124,2021
60,14,Kovačević,SRB,7,31,103,0.70,4.96,141,2021
61,14,Kozamernik,SLO,7,23,167,0.44,3.55,197,2021
62,14,Wiltenburg,NED,7,13,97,0.50,5.98,117,2021
63,14,van Tilburg,NED,7,11,53,0.47,9.86,71,2021
64,14,Podlesnykh,RUS,7,20,76,0.50,6.80,103,2021
65,14,Perrin,CAN,7,25,118,0.54,4.67,150,2021
66,15,Brizard,FRA,6,34,109,0.38,4.03,149,2021
67,15,Milad,IRI,6,32,103,0.46,4.26,141,2021
68,15,Bogdan,RUS,6,22,61,0.40,6.74,89,2021
69,15,Pankov,RUS,6,16,59,0.40,7.41,81,2021
70,15,Holt,USA,6,27,71,0.50,5.77,104,2021
71,15,Sclater,CAN,6,20,71,0.40,6.19,97,2021
72,16,Tillie,FRA,5,20,100,0.31,4.00,125,2021
73,16,Grozdanov,BUL,5,9,22,1.67,13.89,36,2021
74,16,Sossenheimer,GER,5,20,36,0.42,8.20,61,2021
75,16,M.Gholami,IRI,5,10,116,0.33,3.82,131,2021
76,16,Volvich,RUS,5,13,139,0.33,3.18,157,2021
77,16,Jaeschke,USA,5,9,50,0.42,7.81,64,2021
78,16,Sbertoli,ITA,5,19,106,0.33,3.85,130,2021
79,16,Bruno,BRA,5,8,135,0.29,3.38,148,2021
80,16,Saadat,IRI,5,15,35,0.36,9.09,55,2021
81,16,Anderson,USA,5,23,46,0.56,6.76,74,2021
82,16,T. Sander,USA,5,11,29,0.83,11.11,45,2021
83,17,Chinenyeze,FRA,4,21,174,0.24,2.01,199,2021
84,17,Boyer,FRA,4,24,63,0.27,4.40,91,2021
85,17,Louati,FRA,4,17,50,0.31,5.63,71,2021
86,17,Karyagin,BUL,4,17,51,0.27,5.56,72,2021
87,17,Reichert,GER,4,30,97,0.27,3.05,131,2021
88,17,Krage,GER,4,12,112,0.31,3.12,128,2021
89,17,Krick,GER,4,43,71,0.29,3.39,118,2021
90,17,Weir,AUS,4,13,46,0.27,6.35,63,2021
91,17,Smith,AUS,4,21,113,0.33,2.90,138,2021
92,17,Senica,AUS,4,13,52,0.27,5.80,69,2021
93,17,Onodera,JPN,4,15,101,0.31,3.33,120,2021
94,17,Sekita,JPN,4,12,84,0.29,4.00,100,2021
95,17,Lee,JPN,4,9,88,0.27,3.96,101,2021
96,17,Perić,SRB,4,25,38,0.27,5.97,67,2021
97,17,Kurkaev,RUS,4,20,57,0.27,4.94,81,2021
98,17,Ensing,USA,4,22,60,0.29,4.65,86,2021
99,17,Defalco,USA,4,33,97,0.27,2.99,134,2021
100,17,Kochanowski,POL,4,13,76,0.33,4.30,93,2021
101,17,Huber,POL,4,5,16,0.33,16.00,25,2021
102,17,Galassi,ITA,4,23,55,0.50,4.88,82,2021
103,17,Flavio,BRA,4,10,120,0.24,2.99,134,2021
104,17,De Cecco,ARG,4,20,122,0.27,2.74,146,2021
105,17,Ramos,ARG,4,17,89,0.27,3.64,110,2021
106,17,Faure,FRA,4,7,27,0.80,10.53,38,2021
107,18,Le Goff,FRA,3,14,116,0.18,2.26,133,2021
108,18,Parapunov,BUL,3,30,51,0.20,3.57,84,2021
109,18,Fromm,GER,3,20,43,0.20,4.55,66,2021
110,18,Hirsch,GER,3,13,64,0.21,3.75,80,2021
111,18,Graham,AUS,3,25,114,0.20,2.11,142,2021
112,18,Shimizu,JPN,3,10,88,0.23,2.97,101,2021
113,18,Yamauchi,JPN,3,6,110,0.20,2.52,119,2021
114,18,Urnaut,SLO,3,38,138,0.18,1.68,179,2021
115,18,Ter Horst,NED,3,23,47,0.27,4.11,73,2021
116,18,Poletaev,RUS,3,20,67,0.20,3.33,90,2021
117,18,Vigrass,CAN,3,4,58,0.38,4.62,65,2021
118,18,Recine,ITA,3,20,98,0.20,2.48,121,2021
119,18,Mauricio,BRA,3,9,43,0.18,5.45,55,2021
120,18,Fernando,BRA,3,5,52,0.18,5.00,60,2021
121,18,Morteza,IRI,3,7,19,0.27,10.34,29,2021
122,18,Kubiak,POL,3,20,102,0.25,2.40,125,2021
123,18,Vitelli,ITA,3,20,57,0.27,3.75,80,2021
124,18,Šket,SLO,3,11,35,0.19,6.12,49,2021
125,18,Alan,BRA,3,14,60,0.19,3.90,77,2021
126,18,Palacios,ARG,3,10,17,0.27,10.00,30,2021
127,18,Nowakowski,POL,3,12,63,0.25,3.85,78,2021
128,18,S.Ivanov,BUL,3,6,44,0.27,5.66,53,2021
129,18,Muserskiy,RUS,3,14,19,0.43,8.33,36,2021
130,18,M. Souza,BRA,3,11,97,0.23,2.70,111,2021
131,18,Lima B.,ARG,3,22,43,0.43,4.41,68,2021
132,18,Javad,IRI,3,6,16,0.50,12.00,25,2021
133,19,Lyneel,FRA,2,6,24,0.29,6.25,32,2021
134,19,Chavdarov,BUL,2,22,64,0.15,2.27,88,2021
135,19,Kolev,BUL,2,4,94,0.13,2.00,100,2021
136,19,Kaliberda,GER,2,17,61,0.15,2.50,80,2021
137,19,Burggräf,GER,2,6,9,0.13,11.76,17,2021
138,19,O'Dea,AUS,2,14,114,0.13,1.54,130,2021
139,19,Mote,AUS,2,10,129,0.14,1.42,141,2021
140,19,Otsuka,JPN,2,14,66,0.13,2.44,82,2021
141,19,Vadi,IRI,2,6,47,0.22,3.64,55,2021
142,19,Jovović,SRB,2,13,142,0.13,1.27,157,2021
143,19,Vinčić,SLO,2,1,14,0.14,11.76,17,2021
144,19,Z. Štern,SLO,2,8,22,0.12,6.25,32,2021
145,19,Možič,SLO,2,18,35,0.12,3.64,55,2021
146,19,Parkinson,NED,2,9,68,0.15,2.53,79,2021
147,19,Vlasov,RUS,2,23,44,0.13,2.90,69,2021
