,Rank,Player Name,Team,Successful,Errors,Attempts,Average per match,Success %,Total,Year
0,1,Ropret,SLO,407,6,803,23.94,33.47,1216,2021
1,2,Jovović,SRB,315,5,663,21.00,32.04,983,2021
2,3,Zimmermann,GER,311,10,842,20.73,26.74,1163,2021
3,4,De Cecco,ARG,286,5,564,19.07,33.45,855,2021
4,5,Bruno,BRA,282,3,624,16.59,31.02,909,2021
5,6,Christenson,USA,271,2,488,22.58,35.61,761,2021
6,7,Kobzar,RUS,249,8,503,16.60,32.76,760,2021
7,8,Brizard,FRA,239,3,559,14.94,29.84,801,2021
8,9,Drzyzga,POL,236,1,556,13.88,29.76,793,2021
9,10,Sbertoli,ITA,228,7,621,15.20,26.64,856,2021
10,11,Dosanjh,AUS,225,12,786,15.00,21.99,1023,2021
11,12,Seganov,BUL,192,6,592,12.80,24.30,790,2021
12,12,S. Marouf,IRI,192,11,513,14.77,26.82,716,2021
13,13,De Weijer,NED,186,5,424,16.91,30.24,615,2021
14,14,Toniutti,FRA,179,3,428,11.93,29.34,610,2021
15,15,Sekita,JPN,166,3,476,11.86,25.74,645,2021
16,16,Pankov,RUS,154,3,298,10.27,33.85,455,2021
17,17,Blankenau,CAN,153,3,418,10.93,26.66,574,2021
18,18,Fujii,JPN,150,2,404,16.67,26.98,556,2021
19,19,Łomacz,POL,137,2,208,8.06,39.48,347,2021
20,20,Keemink,NED,119,0,402,11.90,22.84,521,2021
21,21,Fernando,BRA,112,2,292,6.59,27.59,406,2021
22,22,TJ,CAN,111,6,286,13.88,27.54,403,2021
23,23,Spirito,ITA,104,4,369,6.93,21.80,477,2021
24,24,K. Shoji,USA,98,1,224,7.54,30.34,323,2021
25,24,Todorović,SRB,98,3,222,7.54,30.34,323,2021
26,25,Vadi,IRI,88,2,215,9.78,28.85,305,2021
27,26,Uriarte,ARG,78,1,157,7.80,33.05,236,2021
28,27,Sanchez Pages,ARG,72,0,80,10.29,47.37,152,2021
29,28,Vinčić,SLO,66,3,84,4.71,43.14,153,2021
