,Rank,Player Name,Team,Blocks,Errors,Rebounds,Average per match,Efficiency %,Total,Year
0,1,Erdem,TUR,46,62,89,2.71,-8.12,197,2021
1,2,Kocic,SRB,43,67,56,2.87,-14.46,166,2021
2,3,Janssens,BEL,40,44,47,2.86,-3.05,131,2021
3,4,Koroleva,RUS,38,62,81,2.53,-13.26,181,2021
4,5,Timmerman,NED,37,79,70,2.47,-22.58,186,2021
5,6,Carol,BRA,35,53,32,2.50,-15.00,120,2021
6,7,Jineiry,DOM,33,68,72,2.20,-20.23,173,2021
7,8,Maglio,CAN,31,65,58,2.21,-22.08,154,2021
8,9,Weitzel,GER,27,72,58,1.80,-28.66,157,2021
9,9,Zhang C.N.,CHN,27,23,23,1.80,5.48,73,2021
10,9,Cross,CAN,27,45,56,1.80,-14.06,128,2021
11,10,Fetisova,RUS,26,40,54,1.86,-11.67,120,2021
12,10,Mazzaro,ITA,26,31,24,1.73,-6.17,81,2021
13,11,Tandara,BRA,25,42,44,1.47,-15.32,111,2021
14,11,Ana Beatriz,BRA,25,41,36,1.67,-15.69,102,2021
15,12,Schölzel,GER,23,52,34,1.53,-26.61,109,2021
16,12,Yang Hyo Jin,KOR,23,45,32,1.53,-22.00,100,2021
17,12,Fe Garay,BRA,23,42,47,1.35,-16.96,112,2021
18,13,Yang H.Y.,CHN,22,40,26,1.57,-20.45,88,2021
19,13,Stysiak,POL,22,35,19,1.47,-17.11,76,2021
20,13,Gabi,BRA,22,30,30,1.29,-9.76,82,2021
21,14,Karakurt,TUR,21,38,38,1.24,-17.53,97,2021
22,14,Araki,JPN,21,50,46,1.24,-24.79,117,2021
23,14,Carol Gattaz,BRA,21,48,57,1.40,-21.43,126,2021
24,15,Van Avermaet,BEL,20,41,34,1.33,-22.11,95,2021
25,15,Caric,SRB,20,20,24,2.22,0.00,64,2021
26,15,Alagierska,POL,20,34,38,1.33,-15.22,92,2021
27,15,Efimienko,POL,20,43,47,1.54,-20.91,110,2021
28,15,Van Ryk,CAN,20,36,30,1.43,-18.60,86,2021
29,16,Daalderop,NED,19,33,37,1.27,-15.73,89,2021
30,16,Medic,SRB,19,32,36,1.27,-14.94,87,2021
31,16,Goncharova,RUS,19,17,40,1.36,2.63,76,2021
32,16,T.Pleumjit,THA,19,48,43,1.27,-26.36,110,2021
33,16,Thompson,USA,19,27,28,1.12,-10.81,74,2021
34,16,Washington,USA,19,47,54,1.19,-23.33,120,2021
35,17,Yan N.,CHN,18,14,15,3.60,8.51,47,2021
36,18,Korneluk,POL,17,18,26,1.55,-1.64,61,2021
37,18,Łukasik,POL,17,31,13,1.13,-22.95,61,2021
38,18,Smarzek,POL,17,25,32,1.42,-10.81,74,2021
39,18,Johnson,CAN,17,26,14,1.13,-15.79,57,2021
40,19,Orthmann,GER,16,18,21,1.07,-3.64,55,2021
41,19,Valdez,DOM,16,43,14,1.33,-36.99,73,2021
42,20,Buijs,NED,15,34,18,1.00,-28.36,67,2021
43,20,Sobolska,POL,15,34,31,1.00,-23.75,80,2021
44,20,BARTSCH-HACKLEY,USA,15,22,23,1.07,-11.67,60,2021
45,20,Lohuis,NED,15,41,45,1.25,-25.74,101,2021
46,20,Ogbogu,USA,15,23,38,1.36,-10.53,76,2021
47,21,Akman,TUR,14,37,36,0.88,-26.44,87,2021
48,21,Fedorovtseva,RUS,14,15,18,0.93,-2.13,47,2021
49,21,Jeongah,KOR,14,24,30,0.93,-14.71,68,2021
50,21,Akinradewo,USA,14,46,34,1.00,-34.04,94,2021
51,22,Baladın,TUR,13,25,16,0.76,-22.22,54,2021
52,22,Alsmeier,GER,13,19,13,0.87,-13.33,45,2021
53,22,Shimamura,JPN,13,38,47,0.93,-25.51,98,2021
54,22,Wang Y.Y.,CHN,13,33,34,0.87,-25.00,80,2021
55,22,Dahyeon,KOR,13,23,23,0.93,-16.95,59,2021
56,22,Nwakalor S.,ITA,13,31,10,0.87,-33.33,54,2021
57,22,Melli,ITA,13,6,2,0.87,33.33,21,2021
58,22,Górecka,POL,13,18,13,0.93,-11.36,44,2021
59,22,Brie,CAN,13,31,19,0.93,-28.57,63,2021
60,22,Yuan X.Y.,CHN,13,28,25,2.17,-22.73,66,2021
61,23,Bongaerts,NED,12,41,44,0.80,-29.90,97,2021
62,23,Herbots,BEL,12,48,35,0.86,-37.89,95,2021
63,23,Diken,TUR,12,20,18,0.71,-16.00,50,2021
64,23,Kosheleva,RUS,12,18,15,1.09,-13.33,45,2021
65,23,Furlan,ITA,12,18,14,0.86,-13.64,44,2021
66,23,Güneş,TUR,12,23,31,1.71,-16.67,66,2021
67,24,İvegin,TUR,11,19,20,0.65,-16.00,50,2021
68,24,Koga,JPN,11,26,34,0.69,-21.13,71,2021
69,24,Momii,JPN,11,39,25,0.69,-37.33,75,2021
70,24,Li Y.,CHN,11,30,17,0.79,-32.76,58,2021
71,24,Eve,DOM,11,30,28,0.79,-27.54,69,2021
72,25,Özbay,TUR,10,30,24,0.59,-31.25,64,2021
73,25,Lozo,SRB,10,16,18,0.67,-13.64,44,2021
74,25,Mirosavljevic,SRB,10,14,12,0.67,-11.11,36,2021
75,25,Janiska,GER,10,2,0,2.50,66.67,12,2021
76,25,Rivera,DOM,10,26,17,0.67,-30.19,53,2021
77,25,Nowicka,POL,10,25,20,0.67,-27.27,55,2021
78,25,Poulter,USA,10,18,27,0.77,-14.55,55,2021
79,26,Van Gestel,BEL,9,43,43,0.60,-35.79,95,2021
80,26,Lazović,SRB,9,22,23,0.90,-24.07,54,2021
81,26,Jaksic,SRB,9,18,20,0.60,-19.15,47,2021
82,26,Ishikawa,JPN,9,19,19,0.53,-21.28,47,2021
83,26,Jiyun J.,KOR,9,23,22,0.60,-25.93,54,2021
84,26,Martinez,DOM,9,20,21,0.60,-22.00,50,2021
85,26,Bonifacio,ITA,9,33,24,0.60,-36.36,66,2021
86,26,Guerra,ITA,9,8,2,0.64,5.26,19,2021
87,26,Lubian,ITA,9,29,36,0.60,-27.03,74,2021
88,26,Cook,USA,9,14,14,0.69,-13.51,37,2021
89,27,Djordjevic,SRB,8,20,9,0.53,-32.43,37,2021
90,27,Imoudu,GER,8,23,24,0.53,-27.27,55,2021
91,27,Drewniok,GER,8,21,26,0.53,-23.64,55,2021
92,27,Voronkova,RUS,8,24,31,0.53,-25.40,63,2021
93,27,Kurogo,JPN,8,32,26,0.47,-36.36,66,2021
94,27,Duan F.,CHN,8,4,7,0.89,21.05,19,2021
95,27,Kim Yeon Koung,KOR,8,17,27,0.53,-17.31,52,2021
96,27,Peña Isabel,DOM,8,6,16,0.53,6.67,30,2021
97,27,Mingardi,ITA,8,14,13,0.62,-17.14,35,2021
98,27,Macris,BRA,8,30,25,0.47,-34.92,63,2021
99,28,Baijens,NED,7,16,15,0.88,-23.68,38,2021
100,28,Guilliams,BEL,7,37,26,0.47,-42.86,70,2021
101,28,Delic,SRB,7,8,3,0.47,-5.56,18,2021
102,28,Brovkina,RUS,7,16,9,0.47,-28.12,32,2021
103,28,Hill,USA,7,6,6,0.47,5.26,19,2021
104,29,Dambrink,NED,6,16,16,0.67,-26.32,38,2021
105,29,Scholten,NED,6,8,11,0.46,-8.00,25,2021
106,29,Naz,TUR,6,7,9,0.67,-4.55,22,2021
107,29,Okumura,JPN,6,14,10,0.40,-26.67,30,2021
108,29,Yamada,JPN,6,22,18,0.40,-34.78,46,2021
109,29,De La Cruz,DOM,6,17,17,0.40,-27.50,40,2021
110,29,Gaila,DOM,6,21,13,0.55,-37.50,40,2021
111,29,Hancock,USA,6,10,15,0.40,-12.90,31,2021
112,29,Tapp,USA,6,6,4,0.50,0.00,16,2021
113,29,Drews,USA,6,25,28,0.35,-32.20,59,2021
114,29,D'Odorico,ITA,6,23,16,0.46,-37.78,45,2021
115,29,Omoruyi,ITA,6,6,4,0.40,0.00,16,2021
116,29,Czyrniańska,POL,6,7,9,0.43,-4.55,22,2021
117,29,Adenizia,BRA,6,16,6,0.50,-35.71,28,2021
118,29,Lemmens,BEL,6,14,29,0.43,-16.33,49,2021
119,30,Startseva,RUS,5,20,24,0.38,-30.61,49,2021
120,30,K.Malika,THA,5,37,36,0.33,-41.03,78,2021
121,30,Yao D.,CHN,5,20,20,0.33,-33.33,45,2021
122,30,Liu Y.H.,CHN,5,12,8,0.36,-28.00,25,2021
123,30,Soyoung,KOR,5,21,16,0.33,-38.10,42,2021
124,30,Eunjin,KOR,5,30,21,0.33,-44.64,56,2021
125,30,Songyi,KOR,5,18,12,0.33,-37.14,35,2021
126,30,Dixon,USA,5,8,10,0.38,-13.04,23,2021
127,30,Parsons,USA,5,1,2,0.45,50.00,8,2021
128,30,Bosio,ITA,5,31,34,0.33,-37.14,70,2021
129,30,Mitrovic,CAN,5,30,27,0.33,-40.32,62,2021
130,30,Gong X.Y.,CHN,5,11,10,0.83,-23.08,26,2021
131,31,Van de Vyver I.,BEL,4,43,39,0.27,-45.35,86,2021
132,31,Güveli,TUR,4,8,6,0.50,-22.22,18,2021
133,31,Boz,TUR,4,13,19,0.24,-25.00,36,2021
134,31,Kalaç,TUR,4,19,18,0.29,-36.59,41,2021
135,31,Savic,SRB,4,15,10,0.31,-37.93,29,2021
136,31,Kästner,GER,4,6,4,0.27,-14.29,14,2021
137,31,Vanjak,GER,4,6,5,0.40,-13.33,15,2021
138,31,K.Karina,THA,4,17,20,0.27,-31.71,41,2021
139,31,Larson,USA,4,22,11,0.24,-48.65,37,2021
140,31,Matveeva,RUS,4,8,7,0.36,-21.05,19,2021
141,31,Ogoms,CAN,4,5,4,0.33,-7.69,13,2021
142,31,Zhu T.,CHN,4,9,5,0.67,-27.78,18,2021
143,31,Ding X.,CHN,4,8,6,0.67,-22.22,18,2021
144,32,Korevaar,NED,3,1,5,0.21,22.22,9,2021
145,32,Van Sas,BEL,3,0,2,0.25,60.00,5,2021
146,32,Uzelac,SRB,3,6,3,0.20,-25.00,12,2021
147,32,Markovic,SRB,3,24,21,0.25,-43.75,48,2021
148,32,Poll,GER,3,6,9,0.21,-16.67,18,2021
149,32,Malygina,RUS,3,4,6,0.50,-7.69,13,2021
150,32,Ishii,JPN,3,3,2,0.18,0.00,8,2021
151,32,T.Nootsara,THA,3,16,21,0.20,-32.50,40,2021
152,32,Diao L.Y.,CHN,3,6,1,0.33,-30.00,10,2021
153,32,Hyejin,KOR,3,5,8,0.43,-12.50,16,2021
154,32,Seungju,KOR,3,13,4,0.20,-50.00,20,2021
155,32,Plummer,USA,3,3,1,0.60,0.00,7,2021
156,32,Carlini,USA,3,3,0,0.50,0.00,6,2021
157,32,Różański,POL,3,2,3,0.23,12.50,8,2021
158,32,Joseph,CAN,3,18,12,0.20,-45.45,33,2021
159,32,Mayany,BRA,3,6,8,0.25,-17.65,17,2021
160,32,Li Y.Y.,CHN,3,4,6,0.50,-7.69,13,2021
161,32,Piva,ITA,3,4,9,0.50,-6.25,16,2021
162,33,De Valkeneer,BEL,2,1,6,0.29,11.11,9,2021
