,Rank,Player Name,Team,Digs,Errors,Receptions,Average per match,Success %,Total,Year
0,1,Castillo,DOM,250,62,29,16.67,73.31,341,2021
1,2,C. Brait,BRA,227,31,21,13.35,81.36,279,2021
2,3,Aköz,TUR,215,48,18,12.65,76.51,281,2021
3,4,Schoot,NED,193,49,28,12.87,71.48,270,2021
4,5,Wong-Orantes,USA,192,35,16,11.29,79.01,243,2021
5,6,Rampelberg,BEL,190,76,27,13.57,64.85,293,2021
6,7,Kurogo,JPN,188,46,16,11.06,75.20,250,2021
7,8,Jiyoung,KOR,187,43,13,12.47,76.95,243,2021
8,9,Gabi,BRA,172,28,23,10.12,77.13,223,2021
9,10,Pogany,GER,165,60,17,11.00,68.18,242,2021
10,11,Kobata,JPN,161,36,14,9.47,76.30,211,2021
11,12,Fersino,ITA,153,52,19,10.20,68.30,224,2021
12,13,Van Gestel,BEL,140,39,10,9.33,74.07,189,2021
13,13,Wang M.J.,CHN,140,36,12,9.33,74.47,188,2021
14,14,Djurdjevic,SRB,135,35,16,10.38,72.58,186,2021
15,14,Ishikawa,JPN,135,34,13,7.94,74.18,182,2021
16,15,Van de Vyver I.,BEL,133,41,21,8.87,68.21,195,2021
17,16,Koga,JPN,131,32,15,8.19,73.60,178,2021
18,17,Fe Garay,BRA,127,37,23,7.47,67.91,187,2021
19,18,Bujan,CAN,123,55,18,8.20,62.76,196,2021
20,19,Kim Yeon Koung,KOR,122,28,9,8.13,76.73,159,2021
21,20,Daalderop,NED,111,43,21,7.40,63.43,175,2021
22,20,Özbay,TUR,111,25,9,6.53,76.55,145,2021
23,20,T.Nootsara,THA,111,33,14,7.40,70.25,158,2021
24,21,P. Piyanut,THA,110,32,13,7.33,70.97,155,2021
25,22,Tandara,BRA,109,25,25,6.41,68.55,159,2021
26,23,Stenzel,POL,108,24,6,7.20,78.26,138,2021
27,24,Brie,CAN,106,37,24,7.57,63.47,167,2021
28,25,De La Cruz,DOM,105,32,8,7.00,72.41,145,2021
29,26,Herbots,BEL,104,32,21,7.43,66.24,157,2021
30,26,Macris,BRA,104,28,9,6.12,73.76,141,2021
31,27,Diken,TUR,101,23,14,5.94,73.19,138,2021
32,27,Momii,JPN,101,38,12,6.31,66.89,151,2021
33,28,Buijs,NED,100,28,14,6.67,70.42,142,2021
34,28,Karakurt,TUR,100,22,13,5.88,74.07,135,2021
35,29,Lozo,SRB,98,29,7,6.53,73.13,134,2021
36,29,Soyoung,KOR,98,11,20,6.53,75.97,129,2021
37,30,Lazović,SRB,96,16,19,9.60,73.28,131,2021
38,30,Pilipenko,RUS,96,38,14,6.40,64.86,148,2021
39,30,S.Onuma,THA,96,36,12,6.40,66.67,144,2021
40,31,K.Malika,THA,95,35,17,6.33,64.63,147,2021
41,32,Bongaerts,NED,94,38,10,6.27,66.20,142,2021
42,33,Imoudu,GER,93,21,15,6.20,72.09,129,2021
43,34,Voronkova,RUS,92,20,13,6.13,73.60,125,2021
44,34,Nowicka,POL,92,20,10,6.13,75.41,122,2021
45,34,Jagła,POL,92,52,12,6.13,58.97,156,2021
46,34,Van Ryk,CAN,92,35,20,6.57,62.59,147,2021
47,35,Marte,DOM,90,35,11,6.00,66.18,136,2021
48,36,Guilliams,BEL,89,23,12,5.93,71.77,124,2021
49,36,Łukasik,POL,89,24,10,5.93,72.36,123,2021
50,37,Baladın,TUR,88,24,10,5.18,72.13,122,2021
51,37,Larson,USA,88,17,2,5.18,82.24,107,2021
52,37,Stysiak,POL,88,24,13,5.87,70.40,125,2021
53,38,Martinez,DOM,84,18,16,5.60,71.19,118,2021
54,39,Rivera,DOM,83,38,14,5.53,61.48,135,2021
55,39,Peña Isabel,DOM,83,22,10,5.53,72.17,115,2021
56,39,Cook,USA,83,12,7,6.38,81.37,102,2021
57,40,Zhang C.N.,CHN,81,21,15,5.40,69.23,117,2021
58,41,De Bortoli,ITA,79,28,6,5.27,69.91,113,2021
59,42,Goncharova,RUS,78,18,14,5.57,70.91,110,2021
60,42,Startseva,RUS,78,30,14,6.00,63.93,122,2021
61,42,Yao D.,CHN,78,16,8,5.20,76.47,102,2021
62,42,Jeongah,KOR,78,26,10,5.20,68.42,114,2021
63,43,D'Odorico,ITA,77,20,9,5.92,72.64,106,2021
64,44,Górecka,POL,76,23,12,5.43,68.47,111,2021
65,45,C.Sutadta,THA,75,27,9,5.00,67.57,111,2021
66,45,Bosio,ITA,75,28,3,5.00,70.75,106,2021
67,45,Johnson,CAN,75,44,17,5.00,55.15,136,2021
68,46,Caric,SRB,74,17,9,8.22,74.00,100,2021
69,46,Mingardi,ITA,74,19,6,5.69,74.75,99,2021
70,46,BARTSCH-HACKLEY,USA,74,20,11,5.29,70.48,105,2021
71,47,Alsmeier,GER,73,22,6,4.87,72.28,101,2021
72,48,İvegin,TUR,71,12,4,4.18,81.61,87,2021
73,49,Gocanin,SRB,70,16,8,4.67,74.47,94,2021
74,50,Poulter,USA,69,10,7,5.31,80.23,86,2021
75,51,Podkopaeva,RUS,68,17,10,11.33,71.58,95,2021
76,52,Orthmann,GER,67,22,14,4.47,65.05,103,2021
77,53,Smarzek,POL,65,13,10,5.42,73.86,88,2021
78,54,Drewniok,GER,64,25,7,4.27,66.67,96,2021
79,54,Li Y.,CHN,64,23,12,4.57,64.65,99,2021
80,55,A.Wilavan,THA,63,24,10,4.20,64.95,97,2021
81,56,Drews,USA,62,16,9,3.65,71.26,87,2021
82,56,Hye Seon,KOR,62,27,13,4.77,60.78,102,2021
83,57,Jaksic,SRB,61,25,11,4.07,62.89,97,2021
84,57,Inoue,JPN,61,22,11,3.59,64.89,94,2021
85,57,Guerra,ITA,61,16,4,4.36,75.31,81,2021
86,57,Nwakalor S.,ITA,61,29,6,4.07,63.54,96,2021
87,58,Dambrink,NED,58,13,9,6.44,72.50,80,2021
88,58,Gong X.Y.,CHN,58,19,8,9.67,68.24,85,2021
89,59,Thompson,USA,56,19,6,3.29,69.14,81,2021
90,60,Mirosavljevic,SRB,54,23,4,3.60,66.67,81,2021
91,61,M. Jasper,NED,53,12,5,3.53,75.71,70,2021
92,61,Hancock,USA,53,17,3,3.53,72.60,73,2021
93,62,C.Tapaphaipun,THA,51,19,12,3.64,62.20,82,2021
94,62,Jineiry,DOM,51,12,2,3.40,78.46,65,2021
95,63,Jiyun J.,KOR,50,17,10,3.33,64.94,77,2021
96,63,Gaila,DOM,50,14,2,4.55,75.76,66,2021
97,63,Mitrovic,CAN,50,20,8,3.33,64.10,78,2021
98,64,Lin L.,CHN,49,18,6,3.27,67.12,73,2021
99,64,Hill,USA,49,19,9,3.27,63.64,77,2021
