,Rank,Player Name,Team,Succesful,Errors,Attemps,Average per match,Success %,Total,Year
0,1,Ishikawa,JPN,179,14,176,10.53,48.51,369,2021
1,2,Koga,JPN,157,16,172,9.81,45.51,345,2021
2,3,Stenzel,POL,147,17,194,9.80,41.06,358,2021
3,4,Alsmeier,GER,138,21,186,9.20,40.00,345,2021
4,5,Buijs,NED,137,23,217,9.13,36.34,377,2021
5,6,P. Piyanut,THA,133,14,144,8.87,45.70,291,2021
6,7,Gabi,BRA,130,9,172,7.65,41.80,311,2021
7,8,Rampelberg,BEL,127,21,178,9.07,38.96,326,2021
8,9,Daalderop,NED,125,19,245,8.33,32.13,389,2021
9,10,Fe Garay,BRA,123,13,175,7.24,39.55,311,2021
10,11,Van Gestel,BEL,120,11,297,8.00,28.04,428,2021
11,12,C. Brait,BRA,118,14,173,6.94,38.69,305,2021
12,13,Castillo,DOM,115,11,179,7.67,37.70,305,2021
13,14,Diken,TUR,113,24,199,6.65,33.63,336,2021
14,14,Fersino,ITA,113,6,119,7.53,47.48,238,2021
15,15,Pogany,GER,101,13,114,6.73,44.30,228,2021
16,15,Jiyoung,KOR,101,15,172,6.73,35.07,288,2021
17,16,Wong-Orantes,USA,100,11,117,5.88,43.86,228,2021
18,16,BARTSCH-HACKLEY,USA,100,13,144,7.14,38.91,257,2021
19,17,Baladın,TUR,94,16,199,5.53,30.42,309,2021
20,18,Lozo,SRB,93,26,220,6.20,27.43,339,2021
21,19,Aköz,TUR,92,21,91,5.41,45.10,204,2021
22,20,Górecka,POL,88,22,197,6.29,28.66,307,2021
23,21,Kobata,JPN,85,5,73,5.00,52.15,163,2021
24,22,Soyoung,KOR,84,23,187,5.60,28.57,294,2021
25,23,Wang M.J.,CHN,82,7,103,5.47,42.71,192,2021
26,24,Schoot,NED,80,8,107,5.33,41.03,195,2021
27,25,Voronkova,RUS,78,12,162,5.20,30.95,252,2021
28,25,K.Malika,THA,78,21,134,5.20,33.48,233,2021
