,Rank,Player Name,Team,Points,Errors,Attempts,Average per match,Success %,Total,Year
0,1,Herbots,BEL,314,88,370,22.43,40.67,772,2021
1,2,Karakurt,TUR,250,85,238,14.71,43.63,573,2021
2,3,Stysiak,POL,245,104,202,16.33,44.46,551,2021
3,4,Tandara,BRA,234,62,222,13.76,45.17,518,2021
4,5,Koga,JPN,226,68,262,14.12,40.65,556,2021
5,6,Van Ryk,CAN,211,90,213,15.07,41.05,514,2021
6,7,Daalderop,NED,208,60,264,13.87,39.10,532,2021
7,8,Ishikawa,JPN,202,66,221,11.88,41.31,489,2021
8,9,Kurogo,JPN,197,72,253,11.59,37.74,522,2021
9,10,Zhang C.N.,CHN,187,51,174,12.47,45.39,412,2021
10,11,Gabi,BRA,185,65,185,10.88,42.53,435,2021
11,12,Kim Yeon Koung,KOR,181,46,207,12.07,41.71,434,2021
12,13,S.Onuma,THA,167,79,258,11.13,33.13,504,2021
13,14,Fe Garay,BRA,165,32,200,9.71,41.56,397,2021
14,15,Goncharova,RUS,162,40,165,11.57,44.14,367,2021
15,15,De La Cruz,DOM,162,49,211,10.80,38.39,422,2021
16,16,Fedorovtseva,RUS,159,49,137,10.60,46.09,345,2021
17,17,Nwakalor S.,ITA,155,61,118,10.33,46.41,334,2021
18,18,Jeongah,KOR,151,50,228,10.07,35.20,429,2021
19,19,Orthmann,GER,146,60,148,9.73,41.24,354,2021
20,20,Erdem,TUR,143,38,86,8.41,53.56,267,2021
21,20,Alsmeier,GER,143,37,164,9.53,41.57,344,2021
22,21,Buijs,NED,142,54,208,9.47,35.15,404,2021
23,22,Baladın,TUR,140,61,139,8.24,41.18,340,2021
24,22,Smarzek,POL,140,55,171,11.67,38.25,366,2021
25,23,Rivera,DOM,136,42,162,9.07,40.00,340,2021
26,23,Martinez,DOM,136,34,170,9.07,40.00,340,2021
27,24,Drews,USA,133,36,108,7.82,48.01,277,2021
28,25,Voronkova,RUS,132,47,146,8.80,40.62,325,2021
29,25,T.Pleumjit,THA,132,31,185,8.80,37.93,348,2021
30,26,Van Gestel,BEL,131,55,222,8.73,32.11,408,2021
31,27,Mitrovic,CAN,127,48,188,8.47,34.99,363,2021
32,28,Lazović,SRB,122,55,151,12.20,37.20,328,2021
33,29,Drewniok,GER,119,50,140,7.93,38.51,309,2021
34,30,Thompson,USA,118,31,120,6.94,43.87,269,2021
35,31,Peña Isabel,DOM,117,47,120,7.80,41.20,284,2021
36,31,Johnson,CAN,117,62,158,7.80,34.72,337,2021
37,32,Soyoung,KOR,114,51,147,7.60,36.54,312,2021
38,33,Caric,SRB,113,54,151,12.56,35.53,318,2021
39,33,BARTSCH-HACKLEY,USA,113,26,128,8.07,42.32,267,2021
40,34,Lozo,SRB,110,51,174,7.33,32.84,335,2021
41,35,Mingardi,ITA,106,40,135,8.15,37.72,281,2021
42,35,Melli,ITA,106,35,121,7.07,40.46,262,2021
43,36,Timmerman,NED,101,26,80,6.73,48.79,207,2021
44,36,Larson,USA,101,22,126,5.94,40.56,249,2021
45,37,K.Malika,THA,100,45,167,6.67,32.05,312,2021
46,37,Łukasik,POL,100,38,139,6.67,36.10,277,2021
47,38,Jineiry,DOM,98,19,91,6.53,47.12,208,2021
48,39,Janssens,BEL,95,22,78,6.79,48.72,195,2021
49,40,D'Odorico,ITA,94,43,176,7.23,30.03,313,2021
50,40,Maglio,CAN,94,22,92,6.71,45.19,208,2021
51,41,Górecka,POL,87,24,113,6.21,38.84,224,2021
52,42,Van Avermaet,BEL,86,14,94,5.73,44.33,194,2021
53,42,C.Sutadta,THA,86,39,136,5.73,32.95,261,2021
54,43,Dambrink,NED,82,26,104,9.11,38.68,212,2021
55,43,Boz,TUR,82,33,115,4.82,35.65,230,2021
56,44,Cook,USA,81,32,102,6.23,37.67,215,2021
57,45,Jiyun J.,KOR,80,58,124,5.33,30.53,262,2021
58,46,Li Y.Y.,CHN,79,12,39,13.17,60.77,130,2021
