,Rank,Player Name,Team,Points,Errors,Attemps,Average per match,Success %,Total,Year
0,1,Janssens,BEL,23,20,139,1.64,12.64,182,2021
1,2,Orthmann,GER,21,36,82,1.40,15.11,139,2021
2,2,Weitzel,GER,21,39,162,1.40,9.46,222,2021
3,3,Erdem,TUR,19,18,146,1.12,10.38,183,2021
4,4,Van Gestel,BEL,18,11,184,1.20,8.45,213,2021
5,4,Karakurt,TUR,18,28,148,1.06,9.28,194,2021
6,4,Kurogo,JPN,18,19,194,1.06,7.79,231,2021
7,4,Van Ryk,CAN,18,44,101,1.29,11.04,163,2021
8,5,Fedorovtseva,RUS,17,23,145,1.13,9.19,185,2021
9,5,Koga,JPN,17,15,187,1.06,7.76,219,2021
10,6,Bosio,ITA,16,2,197,1.07,7.44,215,2021
11,6,Stysiak,POL,16,45,123,1.07,8.70,184,2021
12,6,Łukasik,POL,16,15,146,1.07,9.04,177,2021
13,7,Daalderop,NED,15,26,165,1.00,7.28,206,2021
14,7,Ishikawa,JPN,15,13,175,0.88,7.39,203,2021
15,8,Lozo,SRB,14,16,102,0.93,10.61,132,2021
16,8,Hancock,USA,14,21,71,0.93,13.21,106,2021
17,9,De La Cruz,DOM,13,20,131,0.87,7.93,164,2021
18,9,Washington,USA,13,14,103,0.81,10.00,130,2021
19,9,Lubian,ITA,13,24,72,0.87,11.93,109,2021
20,10,Van de Vyver I.,BEL,12,13,193,0.80,5.50,218,2021
21,10,Lazović,SRB,12,21,116,1.20,8.05,149,2021
22,10,Voronkova,RUS,12,19,116,0.80,8.16,147,2021
23,10,Araki,JPN,12,8,146,0.71,7.23,166,2021
24,10,T.Pleumjit,THA,12,15,123,0.80,8.00,150,2021
25,10,Gaila,DOM,12,14,71,1.09,12.37,97,2021
26,10,Lohuis,NED,12,18,136,1.00,7.23,166,2021
27,11,Herbots,BEL,11,28,149,0.79,5.85,188,2021
28,11,Koroleva,RUS,11,6,128,0.73,7.59,145,2021
29,11,Zhang C.N.,CHN,11,10,131,0.73,7.24,152,2021
30,11,Soyoung,KOR,11,17,107,0.73,8.15,135,2021
31,11,Eunjin,KOR,11,11,96,0.73,9.32,118,2021
32,11,Rivera,DOM,11,19,155,0.73,5.95,185,2021
33,11,Hye Seon,KOR,11,17,101,0.85,8.53,129,2021
34,11,Cook,USA,11,11,82,0.85,10.58,104,2021
35,12,Bongaerts,NED,10,12,156,0.67,5.62,178,2021
36,12,Van Avermaet,BEL,10,14,120,0.67,6.94,144,2021
37,12,Özbay,TUR,10,26,137,0.59,5.78,173,2021
38,12,Baladın,TUR,10,17,142,0.59,5.92,169,2021
39,12,D'Odorico,ITA,10,30,106,0.77,6.85,146,2021
40,12,BARTSCH-HACKLEY,USA,10,13,118,0.71,7.09,141,2021
41,13,Timmerman,NED,9,34,130,0.60,5.20,173,2021
42,13,Drews,USA,9,9,94,0.53,8.04,112,2021
43,13,Mazzaro,ITA,9,5,169,0.60,4.92,183,2021
44,13,Carol,BRA,9,15,125,0.64,6.04,149,2021
45,13,Cross,CAN,9,11,181,0.60,4.48,201,2021
46,13,Brie,CAN,9,12,124,0.64,6.21,145,2021
47,14,Medic,SRB,8,10,76,0.53,8.51,94,2021
48,14,Alsmeier,GER,8,31,126,0.53,4.85,165,2021
49,14,Larson,USA,8,12,120,0.47,5.71,140,2021
50,14,Efimienko,POL,8,14,108,0.62,6.15,130,2021
