,Rank,Player Name,Team,Successful,Errors,Attempts,Average per match,Success %,Total,Year
0,1,Momii,JPN,396,12,1175,24.75,25.02,1583,2021
1,2,Bongaerts,NED,352,6,1207,23.47,22.49,1565,2021
2,3,Macris,BRA,333,6,947,19.59,25.89,1286,2021
3,4,Van de Vyver I.,BEL,292,8,1247,19.47,18.88,1547,2021
4,5,Özbay,TUR,271,9,932,15.94,22.36,1212,2021
5,6,Imoudu,GER,228,12,776,15.20,22.44,1016,2021
6,7,Bosio,ITA,225,6,1140,15.00,16.41,1371,2021
7,8,Poulter,USA,224,7,612,17.23,26.57,843,2021
8,9,Yao D.,CHN,222,7,596,14.80,26.91,825,2021
9,10,Nowicka,POL,215,10,766,14.33,21.70,991,2021
10,11,Brie,CAN,205,13,977,14.64,17.15,1195,2021
11,12,Marte,DOM,193,15,978,12.87,16.27,1186,2021
12,13,T.Nootsara,THA,186,12,1007,12.40,15.44,1205,2021
13,14,Hancock,USA,137,9,424,9.13,24.04,570,2021
14,15,Jaksic,SRB,120,7,899,8.00,11.70,1026,2021
15,16,Hye Seon,KOR,106,8,680,8.15,13.35,794,2021
16,17,Naz,TUR,97,3,369,10.78,20.68,469,2021
17,18,Startseva,RUS,92,5,795,7.08,10.31,892,2021
18,19,Wenerska,POL,89,3,367,14.83,19.39,459,2021
19,20,Ding X.,CHN,74,2,284,12.33,20.56,360,2021
20,21,Kästner,GER,56,4,262,3.73,17.39,322,2021
21,22,Diao L.Y.,CHN,53,3,210,5.89,19.92,266,2021
22,23,Djordjevic,SRB,52,5,476,3.47,9.76,533,2021
23,23,Hyejin,KOR,52,3,250,7.43,17.05,305,2021
24,24,Dain,KOR,50,4,463,3.85,9.67,517,2021
25,25,Matveeva,RUS,40,2,272,3.64,12.74,314,2021
26,26,Roberta,BRA,33,0,137,4.12,19.41,170,2021
27,27,Dani Lins,BRA,25,2,121,2.78,16.89,148,2021
28,27,Morello,ITA,25,4,144,5.00,14.45,173,2021
29,28,Tashiro,JPN,24,1,182,1.71,11.59,207,2021
30,29,Battistoni,ITA,23,2,103,2.30,17.97,128,2021
31,30,Lazareva E.,RUS,22,4,198,2.75,9.82,224,2021
32,31,Dominguez,DOM,21,3,211,1.62,8.94,235,2021
33,32,Buse,TUR,19,0,78,2.38,19.59,97,2021
34,33,Łazowska,POL,17,3,102,1.89,13.93,122,2021
35,34,Robitaille,CAN,16,2,105,2.00,13.01,123,2021
36,35,Smith,CAN,14,1,76,1.40,15.38,91,2021
37,36,M.Sirima,THA,13,0,110,1.18,10.57,123,2021
38,37,Van Sas,BEL,11,0,53,0.92,17.19,64,2021
39,37,Soraya,THA,11,1,72,3.67,13.10,84,2021
40,38,Seki,JPN,7,1,96,0.88,6.73,104,2021
41,39,Krenicky,BEL,6,0,10,3.00,37.50,16,2021
42,40,P.Gullapa,THA,4,0,33,1.33,10.81,37,2021
43,41,Jeongah,KOR,3,0,36,0.20,7.69,39,2021
44,41,Castillo,DOM,3,0,228,0.20,1.30,231,2021
45,41,Carlini,USA,3,0,92,0.50,3.16,95,2021
46,41,Thompson,USA,3,0,14,0.18,17.65,17,2021
47,42,Van Aalen,NED,2,0,5,0.13,28.57,7,2021
48,42,Van de Vyver J.,BEL,2,2,20,0.15,8.33,24,2021
49,42,Rampelberg,BEL,2,3,101,0.14,1.89,106,2021
50,42,Weitzel,GER,2,0,15,0.13,11.76,17,2021
51,42,Wang M.J.,CHN,2,1,63,0.13,3.03,66,2021
52,43,Janssens,BEL,1,1,7,0.07,11.11,9,2021
53,43,Aköz,TUR,1,0,109,0.06,0.91,110,2021
54,43,Boz,TUR,1,2,1,0.06,25.00,4,2021
55,43,Karakurt,TUR,1,2,12,0.06,6.67,15,2021
56,43,Lazović,SRB,1,0,21,0.10,4.55,22,2021
57,43,Drewniok,GER,1,0,12,0.07,7.69,13,2021
58,43,Alsmeier,GER,1,1,20,0.07,4.55,22,2021
59,43,Pogany,GER,1,2,113,0.07,0.86,116,2021
60,43,Kurogo,JPN,1,3,35,0.06,2.56,39,2021
61,43,Shimamura,JPN,1,0,12,0.07,7.69,13,2021
62,43,Kobata,JPN,1,0,104,0.06,0.95,105,2021
63,43,S.Onuma,THA,1,2,38,0.07,2.44,41,2021
64,43,K.Malika,THA,1,2,24,0.07,3.70,27,2021
65,43,Yang H.Y.,CHN,1,1,10,0.07,8.33,12,2021
66,43,Lin L.,CHN,1,0,30,0.07,3.23,31,2021
67,43,Jiyoung,KOR,1,1,88,0.07,1.11,90,2021
68,43,Plummer,USA,1,0,1,0.20,50.00,2,2021
69,43,Wong-Orantes,USA,1,0,101,0.06,0.98,102,2021
70,43,Larson,USA,1,1,37,0.06,2.56,39,2021
71,43,Guerra,ITA,1,0,8,0.07,11.11,9,2021
72,43,De Bortoli,ITA,1,0,70,0.07,1.41,71,2021
73,43,Stenzel,POL,1,0,142,0.07,0.70,143,2021
74,43,Jagła,POL,1,0,50,0.07,1.96,51,2021
75,43,Smarzek,POL,1,0,18,0.08,5.26,19,2021
76,43,Górecka,POL,1,0,15,0.07,6.25,16,2021
77,43,Bujan,CAN,1,2,102,0.07,0.95,105,2021
78,43,Van Ryk,CAN,1,1,33,0.07,2.86,35,2021
79,43,Yan N.,CHN,1,0,12,0.20,7.69,13,2021
80,44,Knip,NED,0,0,5,0.00,0.00,5,2021
81,44,Savelkoel,NED,0,0,0,,,0,2021
82,44,Korevaar,NED,0,0,0,,,0,2021
83,44,Schoot,NED,0,1,109,0.00,0.00,110,2021
84,44,Buijs,NED,0,0,16,0.00,0.00,16,2021
85,44,Baijens,NED,0,1,1,0.00,0.00,2,2021
86,44,M. Jasper,NED,0,0,9,0.00,0.00,9,2021
87,44,Daalderop,NED,0,0,19,0.00,0.00,19,2021
88,44,Timmerman,NED,0,0,17,0.00,0.00,17,2021
89,44,de Zwart,NED,0,0,0,,,0,2021
90,44,Dambrink,NED,0,1,6,0.00,0.00,7,2021
91,44,Scholten,NED,0,0,6,0.00,0.00,6,2021
92,44,Herbots,BEL,0,0,34,0.00,0.00,34,2021
93,44,Guilliams,BEL,0,2,18,0.00,0.00,20,2021
94,44,Gilson,BEL,0,0,2,0.00,0.00,2,2021
95,44,Van Gestel,BEL,0,0,23,0.00,0.00,23,2021
96,44,Demeyer,BEL,0,1,16,0.00,0.00,17,2021
97,44,Sobolska,POL,0,1,3,0.00,0.00,4,2021
98,44,De Valkeneer,BEL,0,0,1,0.00,0.00,1,2021
99,44,Van Avermaet,BEL,0,0,10,0.00,0.00,10,2021
100,44,Stragier,BEL,0,0,3,0.00,0.00,3,2021
101,44,İvegin,TUR,0,0,6,0.00,0.00,6,2021
